Test Problem;Optimizer;Performance;Speed
P1;SGD;87,4;51,1
P1;Momentum;87,05;70,5
P1;Adam;87,11;39,9
P2;SGD;38,46;1
P2;Momentum;52,93;1
P2;Adam;27,83;1
P3;SGD;0,9227;40,6
P3;Momentum;0,9214;59,1
P3;Adam;0,9234;40,1
P4;SGD;0,8371;42,5
P4;Momentum;0,8441;40,7
P4;Adam;0,8475;36
P5;SGD;23,8;1
P5;Momentum;59,23;1
P5;Adam;23;1
P6;SGD;0,5706;128,7
P6;Momentum;0,6033;72,8
P6;Adam;0,5615;152,6
P7;SGD;0,9537;28,3
P7;Momentum;0,9553;10,8
P7;Adam;0,9525;12,1
P8;SGD;0,6207;47,7
P8;Momentum;0,613;88
P8;Adam;0,6123;62,8
;;;
;;;
;;;
;;;
;;;
